"","sort_number","site","Genus_species","Family","growthform","height","loght","Country","Site","lat","long","alt","temp","diurn.temp","isotherm","temp.seas","temp.max.warm","temp.min.cold","temp.ann.range","temp.mean.wetqr","temp.mean.dryqr","temp.mean.warmqr","temp.mean.coldqr","rain","rain.wetm","rain.drym","rain.seas","rain.wetqr","rain.dryqr","rain.warmqr","rain.coldqr","LAI","NPP","hemisphere"
"11",4610,201,"Betula_nana","Betulaceae","Shrub",0.55,-0.259637311,"Estonia",NA,58.5,25,28,5.4,6.6,2.1,8.3,21.2,-9,30.2,6.5,-1.6,16.1,-5,664,77,31,28,220,106,191,137,3.07,536,1
"12",1593,86,"Acmena_graveolens","Myrtaceae","Tree",32,1.505149978,"Australia","Cairns - Daintree canopy crane",16.103,145.446,263,25.2,8.3,5.8,2.1,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,4.04,908,-1
"13",22359,69,"Phaleria_ixoroides","Thymelaeaceae","Tree",5,0.698970004,"Fiji","Viti Levu",17.8,178,1108,19.3,6.3,5.8,1.5,25.3,14.6,10.7,21.1,17.4,21.1,17.3,3191,412,160,31,1136,521,1136,523,4.26,1795,-1
"15",25129,72,"Pullea_perryana","Cunoniaceae","Tree",12,1.079181246,"Fiji","ao",17.742,178.392,47,24.8,6.3,6.3,1.3,30,20.1,9.9,26.1,23,26.3,23,2770,381,118,37,1006,391,1005,391,4.51,1864,-1
"16",25921,161,"Retama_sphaerocarpa","Fabaceae - P","Shrub",1.68,0.225309282,"Spain",NA,37.133,-2.367,648,15.3,10.1,3.8,5.7,30.1,3.6,26.5,12.3,22.8,23.1,8.6,355,43,5,44,121,27,33,114,2.79,991,1
"17",30396,46,"Themeda_triandra","Poaceae","Herb",0.7,-0.15490196,"South Africa","Zululand - ledube",28.234,32.017,289,20.5,10.2,5.8,2.4,28.5,11,17.5,23.4,17.2,23.4,17.2,926,129,32,43,347,104,344,104,3.35,525,-1
"19",11305,73,"Eleusine_aegyptica","Poaceae","Herb",0.6,-0.22184875,"Fiji","ab",17.667,178.167,312,23.5,6.3,6.2,1.3,28.9,18.8,10.1,25.1,21.7,25.1,21.7,2814,379,126,35,1027,413,1027,413,4.26,1795,-1
"20",17982,164,"Lepechinia_calycina","Lamiaceae","Shrub",1.6,0.204119983,"USA","Jasper Ridge - Chaparral",37.4,-122.233,150,13.8,11.3,5.5,3.3,24.2,4,20.2,9.6,17.7,18.1,9.6,598,120,2,87,311,9,13,311,1.51,223,1
"21",19569,117,"Maranthes_glabra","Chrysobalanaceae","Tree",32,1.505149978,"Liberia",NA,5.5,-7.5,152,26,8.8,7.5,0.9,32.5,20.8,11.7,25.9,26.4,27.2,24.8,2110,287,49,45,735,217,458,542,4.51,1857,1
"22",24893,189,"Pseudotsuga_menziesii","Pinaceae","Tree",61,1.785329835,"USA","Oregon",44,-122,1446,5,12.8,4.1,6.1,23.5,-7.3,30.8,-1.5,13.1,13.1,-2.1,1427,246,23,65,692,106,106,642,2.07,478,1
"24",23821,40,"Polygonum_lapathifolium","Polygonaceae","Herb",1,0,"Australia",NA,30.517,145.133,106,19.9,13.8,4.5,5.9,35.2,5,30.2,26.7,13.6,27.3,12.1,338,44,16,28,116,67,100,68,2.07,490,-1
"25",10692,71,"Diospyros_gillespiei","Ebenaceae","Tree",15,1.176091259,"Fiji","abko",17.758,178.577,13,24.9,6.3,6.3,1.3,30.1,20.1,10,26.5,23.3,26.5,23.2,2767,390,113,38,1012,379,1012,381,4.51,1864,-1
"26",15714,107,"Hibiscus_tiliaceus","Malvaceae","Tree",7,0.84509804,"Papua New Guinea","Motupore Island",9.5,147.267,30,26.8,8.3,7.6,0.8,32.5,21.6,10.9,27.5,25.7,27.7,25.6,1184,201,33,60,556,117,486,123,3.26,907,-1
"27",20585,78,"Myristica_macrantha","Myristicaceae","Tree",20,1.301029996,"Fiji","abo",17.356,178.675,3,25,6.3,6.4,1.2,30.2,20.4,9.8,26.5,23.4,26.5,23.4,2664,384,103,40,1011,349,1011,349,4.51,1864,-1
"29",16107,122,"Hybanthus_prunifolius","Violaceae","Shrub",2.9,0.462397998,"Panama","BCI",9.167,-79.85,94,26.3,6.7,7.3,0.7,31.2,22.1,9.1,25.7,26.4,27.3,25.5,2607,390,29,56,1026,138,407,705,4.51,2146,1
"30",19395,140,"Mallotus_japonicus","Euphorbiaceae","Tree",9.67,0.985426474,"Japan",NA,30.333,130.4,530,18.2,6.3,2.8,5.5,29.1,7.3,21.8,22.5,11.2,25.4,11.2,3042,521,137,39,1117,495,837,495,4.26,1335,1
"31",19849,64,"Melochia_longepetiolata","Malvaceae","Tree",8,0.903089987,"Fiji","k",18.967,178.283,72,24.1,6.4,5.9,1.5,29.8,19.1,10.7,25.7,22.3,26,22.2,2314,316,119,34,836,372,834,384,4.51,1864,-1
"32",11723,53,"Eremophila_forrestii","Scrophulariaceae","Shrub",2,0.301029996,"Australia","WA",24.65,113.7,7,22.3,10.7,4.6,4.1,33.8,10.8,23,18.2,23.1,27.6,17,216,50,0,83,127,5,54,108,1.51,464,-1
"33",18175,26,"Leucadendron_sp","Proteaceae","Shrub",0.6,-0.22184875,"South Africa","Stellenbosch - fynbos",33.992,18.975,387,15.7,11.2,5.3,3.5,27.3,6.3,21,12.2,20.2,20.3,11.5,1052,160,29,59,468,95,98,459,2.01,517,-1
"34",14954,18,"Hakea_rostrata","Proteaceae","Shrub",1.7,0.230448921,"Australia",NA,36.917,142.417,366,13,12.5,4.9,4.4,27.7,2.6,25.1,7.5,18.6,18.6,7.5,723,92,32,36,259,102,102,259,2.26,698,-1
"35",32697,38,"Adenanthos_cygnorum","Proteaceae","Tree",7,0.84509804,"Australia","Perth - Melaleuca Park",31.689,115.886,60,18.3,11.5,4.9,4.1,31.7,8.5,23.2,13.5,23.5,23.9,13.5,762,160,8,84,426,33,39,426,1.51,575,-1
"36",6851,222,"Cassiope_tetragona","Ericaceae","Shrub",0.08,-1.096910013,"Greenland","Zackenberg - hill",74.476,-20.629,83,-11.1,7,2.1,9.3,6,-26.5,32.5,-4.3,-7.4,1.7,-21.4,252,27,11,22,76,40,60,68,2.6,4,1
"37",30345,156,"Thalictrum_thalictroides","Ranunculaceae","Herb",0.2,-0.698970004,"USA","Duke Forest, Durham, NC",35.967,-79,99,14.9,13.4,3.9,7.6,31.8,-2.4,34.2,24.6,10.2,24.6,4.8,1150,113,81,12,325,252,325,277,3.26,1274,1
"38",26673,209,"Rumex_acetosa","Polygonaceae","Herb",0.707,-0.150580586,"Finland",NA,62,27,114,3.4,7.3,2.1,9,21.2,-12.2,33.4,13.5,-3.6,15.2,-8.1,637,84,33,29,221,104,209,129,2.76,477,1
"39",6787,137,"Casimiroa_greggii","Rutaceae","Shrub",7,0.84509804,"Mexico","Linares - Puenta Viejo",24.749,-99.799,736,20.7,14.3,5.5,4,32.9,7.2,25.7,23.5,15.2,25.4,15.2,703,149,14,71,325,54,268,54,2.26,844,1
"40",4175,10,"Baccharis_divaricata","Asteraceae","Shrub",0.5,-0.301029996,"Argentina","Puerto Madryn - dune",42.769,-64.101,66,13,10.3,4.7,4.2,24.5,2.7,21.8,13.7,17,18.3,7.4,214,28,9,35,77,36,37,55,1.01,404,-1
"41",15864,121,"Hirtella_triandra","Chrysobalanaceae","Tree",23.5,1.371067862,"Panama","Panama - BCI",9.15,-79.849,165,26.5,6.8,7.3,0.7,31.4,22.2,9.2,25.8,26.6,27.5,25.6,2542,383,27,56,1004,132,397,975,4.51,2146,1
"42",20367,139,"Morus_boninensis","Moraceae","Tree",16,1.204119983,"Japan",NA,26.65,142.133,230,23.4,4.6,3.1,3.6,30.1,15.7,14.4,27.2,18.5,27.7,18.5,1315,151,52,27,414,195,394,195,NA,NA,1
"43",3175,173,"Aquilegia_caerulea","Ranunculaceae","Herb",0.233,-0.632644079,"USA","Rockies",38.966,-106.987,2966,0.2,16.9,4,8.6,21.3,-20.8,42.1,10.5,4,11,-10.8,526,53,30,16,148,105,134,144,2.24,339,1
"44",21747,116,"Parashorea_malaanonan","Dipterocarpaceae","Tree",34,1.531478917,NA,NA,4.967,117.8,214,25.9,7.7,8.9,0.3,30.5,21.9,8.6,25.6,25.7,26.3,25.4,2315,253,147,14,692,512,515,670,4.51,2246,1
"46",26205,77,"Richella_monosperma","Annonaceae","Tree",15,1.176091259,"Fiji","aot",17.447,178.917,97,24.6,6.2,6.3,1.2,29.8,20.1,9.7,26.1,23,26.1,23,2660,382,103,41,1023,345,1023,345,4.5,1800,-1
"47",32313,37,"Xanthorrhoea_preissii","Xanthorrhoeaceae","Shrub",1.5,0.176091259,"Australia","Perth - Darling Scarp",32.02,116.044,209,17,11.2,4.6,4.5,31.2,7.2,24,11.7,22.7,23.1,11.7,1003,213,13,85,566,50,54,566,1.93,708,-1
"48",21013,126,"Ocotea_meziana","Lauraceae","Tree",16,1.204119983,"Costa Rica",NA,10.433,-83.983,50,26,8.8,7.6,0.8,32.2,20.7,11.5,26.2,26.8,27.1,25.1,3991,481,162,30,1281,581,741,1206,4.51,2132,1
"49",18104,21,"Leptospermum_continentale","Myrtaceae","Shrub",2.8,0.447158031,"Australia","Adelaide - ferries",35.235,139.132,52,15.6,11.7,5.3,3.7,27.8,5.8,22,10.9,20.2,20.3,10.9,384,45,18,29,127,59,60,127,2.17,661,-1
"50",2720,129,"Ampelocera_hottlei","Ulmaceae","Tree",25,1.397940009,"Mexico","Chajul",16.106,-90.987,41,25.9,11.3,6.9,1.5,34,17.8,16.2,26.6,25.8,27.5,23.7,3048,515,57,68,1422,195,680,304,4.51,1809,1
"51",12031,99,"Eucalyptus_miniata","Myrtaceae","Tree",20,1.301029996,"Australia","Howard Springs, Darwin",12.494,131.108,26,27.3,10.5,6,1.7,34.6,17.2,17.4,28.1,24.7,29.2,24.7,1505,371,1,104,970,7,408,7,4.07,956,-1
"52",15651,61,"Heteropogon_triticeus","Poaceae","Herb",0.4,-0.397940009,"Australia","Townsville savanna",19.337,146.755,79,23.9,9.9,5.2,3.1,31.7,12.9,18.8,27.1,20.3,27.3,19.4,1027,251,9,101,668,33,626,42,4.14,1012,-1
"53",8736,13,"Coprosma_robusta","Rubiaceae","Shrub",6,0.77815125,"New Zealand","Nelson",42,173,1650,4.2,8.5,4.4,3.7,14.8,-4.4,19.2,-0.1,8.9,8.9,-0.7,2043,204,105,16,582,388,388,580,4.26,1102,-1
"54",21930,220,"Pedicularis_lapponica","Orobanchaceae","Herb",0.2,-0.698970004,"Greenland","disko island",69.25,-53.6,150,-5.7,5.5,1.8,8,8.3,-20.7,29,1.2,-16.2,4.3,-16.2,305,38,16,30,106,52,87,52,1.01,32,1
