"","sort_number","site","Genus_species","Family","growthform","height","loght","Country","Site","lat","long","alt","temp","diurn.temp","isotherm","temp.seas","temp.max.warm","temp.min.cold","temp.ann.range","temp.mean.wetqr","temp.mean.dryqr","temp.mean.warmqr","temp.mean.coldqr","rain","rain.wetm","rain.drym","rain.seas","rain.wetqr","rain.dryqr","rain.warmqr","rain.coldqr","LAI","NPP","hemisphere"
"109",4101,14,"Austrocedrus_chilensis","Cupressaceae","Tree",35,1.544068044,"Argentina","Bariloche",41.242,-71.425,1039,7,11.7,5.1,4.2,20.3,-2.6,22.9,1.7,12.4,12.4,1.7,972,175,28,56,443,106,106,443,4.14,691,-1
"110",30008,66,"Syzygium_brackenridgei","Myrtaceae","Tree",20,1.301029996,"Fiji","ako",18.15,178.356,13,24.8,6.3,6.1,1.4,30.2,19.9,10.3,26.1,23.1,26.4,22.9,2993,372,150,30,1025,468,969,483,4.51,1864,-1
"112",2661,159,"Amelanchier_arborea","Rosaceae","Tree",19,1.278753601,"USA","Twin springs, Virginia",36.817,-82.464,501,12.7,13,3.8,7.8,29.6,-4.5,34.1,20.6,13.4,22.4,2.3,1121,117,71,12,322,240,310,265,4.07,1325,1
"113",29608,19,"Stipa_sp","Poaceae","Herb",0.35,-0.455931956,"Argentina","Mendoza - Payunia",36.25,-68.824,1502,10.9,16.3,5.2,5.5,27.7,-3.6,31.3,17.3,6.9,18,3.8,208,23,13,17,65,44,61,47,1.89,522,-1
"114",29609,9,"Stipa_speciosa","Poaceae","Herb",0.25,-0.602059991,"Argentina","Puerto Madryn - steppe",42.79,-64.092,76,13,10.2,4.6,4.3,24.4,2.6,21.8,13.7,17,18.3,7.4,214,28,9,35,77,36,37,55,1.01,404,-1
"115",3971,11,"Atherosperma_moschatum","Atherospermataceae","Tree",30,1.477121255,"Australia","Tasmania",42.683,146.35,740,7.5,8.4,4.8,3,17.5,0.1,17.4,4,11.4,11.4,3.6,1720,182,72,23,530,280,280,495,2.96,643,-1
"118",7039,148,"Ceanothus_greggii","Rhamnaceae","Shrub",3,0.477121255,"USA","California",33.383,-116,-71,22.9,17.4,4.6,7.1,41.7,4.5,37.2,15.5,25.7,31.9,13.9,73,12,0,51,31,4,10,30,1.51,415,1
"119",10986,114,"Duguetia_surinamensis","Annonaceae","Tree",30,1.477121255,NA,NA,4.083,-52.667,174,24.9,8.8,7.4,0.4,31.4,19.6,11.8,24.8,25.4,25.4,24.3,3329,503,78,47,1245,304,328,1054,4.51,1896,1
"120",21931,221,"Pedicularis_hirsuta","Orobanchaceae","Herb",0.08,-1.096910013,"Greenland","Zackenberg - salix",74.474,-20.536,37,-10.5,7,2.1,9.3,6.5,-25.8,32.3,-3.7,-6.8,2.3,-20.7,236,26,10,24,73,36,57,63,2.6,4,1
"121",4330,44,"Banksia_hookeriana","Proteaceae","Shrub",2.02,0.305351369,"Australia",NA,29.567,115.233,94,20.2,13.5,5,4.7,35.2,8.7,26.5,15.7,24,26.5,14.5,475,108,7,84,267,27,32,267,1.99,411,-1
"123",32296,167,"Xanthium_occidentale","Asteraceae","Herb",1.15,0.06069784,"Japan",NA,38.217,140.833,38,12.4,8,2.5,8.1,28.4,-2.4,30.8,22.9,2.3,22.9,2.3,1263,181,50,43,506,162,506,162,3.57,932,1
"124",27405,141,"Sarcopoterium_spinosum","Rosaceae","Shrub",0.45,-0.346787486,"Israel","Lehavim",31.356,34.835,379,18.9,12,4.7,5,31.8,6.4,25.4,12.1,24.7,24.7,12.1,293,69,0,106,186,0,0,186,1.26,305,1
"125",4297,96,"Bambusa_weberbaueri","Poaceae","Shrub",6,0.77815125,"Peru","Los Amigos - Bamboo",12.566,-70.099,256,24.8,10.5,7.3,1,31.4,17.2,14.2,25.6,23.3,25.7,23.3,3269,470,112,45,1308,380,1001,397,4.26,1475,-1
"126",30971,207,"Triglochin_palustre","Juncaginaceae","Herb",0.15,-0.823908741,"USA","Alaska, Yukon delta",61.25,-165.5,1,-1.2,6.8,2.3,8.3,13.8,-15.3,29.1,9.1,-8.7,9.6,-11.1,657,133,24,61,313,85,256,90,2.15,204,1
"127",4614,202,"Betula_pendula","Betulaceae","Shrub",1.584893192,0.2,NA,NA,58.867,25,75,5.1,6.6,2.1,8.2,20.9,-9.2,30.1,6.1,-1.8,15.7,-5.1,691,78,34,28,225,112,202,144,2.76,474,1
"128",12621,4,"Festuca_gracillima","Poaceae","Herb",0.14,-0.853871964,"Argentina","Rio Turbio - heath",51.575,-72.312,747,3.7,9.7,4.9,3.6,14,-5.6,19.6,3.5,4.2,8,-1.2,500,57,34,15,152,106,120,122,1.26,30,-1
"129",12043,55,"Eucalyptus_gillenii","Myrtaceae","Shrub",5,0.698970004,"Australia","Alice - the gap",23.795,133.863,701,20.9,16.3,4.8,6,37,3.6,33.4,28.1,14.8,28.1,12.7,278,37,9,42,109,35,109,42,1.32,756,-1
"132",12046,43,"Eucalyptus_sp2","Myrtaceae","Tree",20,1.301029996,"Australia","Armidale - Goonoowigal",29.815,151.121,686,15.3,14.5,4.9,5.3,29.3,0.1,29.2,21.8,8.2,21.8,8.2,780,105,37,33,287,133,287,133,3.26,1272,-1
"134",18174,22,"Leucadendron_meridianum","Proteaceae","Shrub",1.7,0.230448921,"South Africa",NA,34.583,19.917,71,16.7,8.5,5.1,2.8,25,8.5,16.5,13.2,20.1,20.2,13.2,484,59,20,34,176,67,77,176,2.14,825,-1
"135",5464,195,"Cakile_edentula","Brassicaceae","Herb",0.2,-0.698970004,"Canada","Nova Scotia",44.683,-63.117,4,6.4,9.1,2.8,8,22.5,-9.5,32,-0.8,13.4,16.5,-3.8,1379,149,91,16,432,294,296,400,3.26,711,1
"136",12089,24,"Eucalyptus_socialis","Myrtaceae","Tree",6,0.77815125,"Australia","Adelaide - Brookfield Mallee",34.32,139.503,95,16.2,13.3,5.1,4.6,30.7,4.8,25.9,13,21.9,22,10.5,272,30,15,23,83,49,50,79,2.14,773,-1
"138",6529,143,"Carnegiea_gigantea","Cactaceae","Shrub",8,0.903089987,"USA","Tucson - Sonoran desert",32.31,-110.739,971,18.9,15.7,4.6,6.9,36.3,2.5,33.8,27.2,22.2,27.9,10.4,380,71,6,61,176,24,144,98,1.01,477,1
"139",5079,92,"Bridelia_micrantha","Phyllanthaceae","Tree",9,0.954242509,"Zambia","Zambia - Mateshi",13.253,30.047,1388,19.1,12.7,5.5,2.6,30.1,7.3,22.8,20.9,15.1,21.7,15.1,1085,265,0,118,778,0,383,0,4.03,652,-1
"140",28046,5,"Senecio_filaginoides","Asteraceae","Herb",0.6,-0.22184875,NA,"Patagonia",45.417,-70,500,9.6,11.2,4.6,4.8,22.6,-1.3,23.9,3.9,15.6,15.6,3.3,174,23,7,35,65,25,25,57,2.42,505,-1
"141",32120,171,"Vulpia_microstachys","Poaceae","Herb",0.239,-0.621602099,NA,NA,38.867,-122.417,646,13.5,15.3,4.7,6,32.8,0.5,32.3,6.5,21.4,21.4,6.5,867,182,1,88,469,11,11,469,2.14,595,1
"142",29331,48,"Spirostachys_africanus","Euphorbiaceae","Shrub",4.5,0.653212514,"South Africa","Zululand - Mbuzane",28.221,31.794,161,21,11,5.9,2.5,29.3,10.7,18.6,23.9,17.4,23.9,17.4,834,116,25,47,321,84,309,84,3.35,525,-1
"143",28244,67,"Sesbania_grandiflora","Fabaceae - P","Tree",12,1.079181246,"Fiji","a-ngau",17.917,178.65,12,24.8,6.3,6.3,1.3,30.1,20.1,10,26.2,23.2,26.4,23,2835,401,116,37,1026,385,1019,398,4.51,1864,-1
"144",12604,145,"Ferocactus_cylindraceus","Cactaceae","Shrub",1.7,0.230448921,"USA","Tucson",32.6,-111.233,690,20.5,17.2,4.6,7.4,39.2,2.6,36.6,29.5,23.8,30,11.4,354,57,8,50,143,29,117,97,1.26,349,1
"146",22732,211,"Picea_mariana","Pinaceae","Tree",13.5,1.130333768,"USA","Alaska - Bonanza",64.769,-148.283,382,-4.3,10.7,2.2,13.9,21,-27.1,48.1,13.2,-12.1,13.2,-21.9,296,57,7,68,157,28,157,41,2.51,363,1
"147",8880,198,"Corema_conradi","Ericaceae","Shrub",0.5,-0.301029996,"Canada","Quebec",47.533,-61.7,1,4.9,6.2,2,8.2,20.4,-10.2,30.6,-1.8,11.8,15.6,-5.4,977,110,64,18,308,201,222,239,NA,NA,1
"148",21232,149,"Opuntia_acanthocarpa","Cactaceae","Shrub",0.72,-0.142667504,"USA","California",33.633,-116.4,900,16.7,16.6,4.7,6.6,36.3,1.5,34.8,9.9,22.6,25.4,8.9,290,46,2,57,129,22,50,126,1.01,492,1
"150",4331,42,"Banksia_hookeriana","Proteaceae","Shrub",1.71,0.23299611,"Australia","Western Australia",29.867,115.25,79,20.1,13.3,5.1,4.6,35,9,26,14.7,26,26.4,14.7,520,117,5,83,292,29,30,292,1.67,75,-1
"151",2834,109,"Andropogon_greenwayi","Poaceae","Herb",0.3,-0.522878745,"Tanzania","Serengeti, Naabi hill",3.217,35.483,1550,13.7,8.8,6.5,1.3,20.4,6.9,13.5,14.8,12.2,14.8,11.7,1019,192,9,73,451,33,451,44,3.48,1209,-1
"152",10460,12,"Dicksonia_antarctica","Dicksoniaceae","Shrub",3,0.477121255,"Australia","Mt Field, Tasmania",42.679,146.669,704,7.9,8.8,4.8,3.2,18.2,0,18.2,4.2,12,12,3.7,1156,117,54,20,347,200,200,322,2.96,643,-1
"153",9565,101,"Cupaniopsis_anacardioides","Sapindaceae","Tree",8,0.903089987,"Australia","Darwin - East point",12.406,130.82,11,27.5,9.6,6.2,1.5,33.9,18.5,15.4,28.2,25.2,29.1,25.2,1663,428,1,106,1091,10,428,10,4.07,956,-1
"154",4332,41,"Banksia_tricuspis","Proteaceae","Shrub",2.9,0.462397998,"Australia",NA,30.167,115.233,274,18.1,12.5,5.1,4.2,31.9,7.7,24.2,13.1,21.5,23.8,13.1,597,132,6,83,333,34,38,333,1.67,75,-1
"155",12097,16,"Eucalyptus_sp5","Myrtaceae","Tree",13,1.113943352,"Australia","Bunyip - Melbourne",38.01,145.62,164,13.6,10.5,4.8,3.7,25.7,4.2,21.5,11.1,18.4,18.4,8.8,1016,107,52,20,313,176,176,275,2.71,793,-1
"156",4954,176,"Bouteloua_gracilis","Poaceae","Herb",0.2,-0.698970004,"USA","Colorado",40.817,-107.783,2177,4.3,16.9,3.9,9,27.7,-15.5,43.2,3.4,-7.3,15.9,-7.3,374,37,23,13,106,77,93,77,0.51,261,1
"157",25823,174,"Ratibida_columnifera","Asteraceae","Herb",1,0,"USA","Kansas",39.083,-96.583,407,12,12.7,3,10,32.3,-9.1,41.4,22.1,-1.4,24.5,-1.4,872,137,20,51,355,71,326,71,4.14,1414,1
"158",11205,112,"Elateriospermum_tapos","Euphorbiaceae","Tree",39.6,1.597695186,"Malaysia",NA,2.983,102.3,116,26.5,9.5,8.5,0.5,32.2,21.1,11.1,26.1,26.6,27.1,25.8,1974,254,103,30,710,324,524,633,4.51,2270,1
"159",26532,205,"Rubus_chamaemorus","Rosaceae","Shrub",0.158,-0.801342913,"Finland",NA,60,27,75,4.5,7.1,2.2,8.7,21.5,-10.5,32,10.2,-6,15.8,-6.6,597,78,26,34,216,90,184,106,2.82,502,1
"160",21730,58,"Paraneurachne_muelleri","Poaceae","Herb",0.5,-0.301029996,"Australia","Kunoth Paddock - Alice Springs",23.533,133.748,713,20.4,16,4.8,6.1,36.3,3.1,33.2,26.6,14.2,27.5,12.1,310,41,11,42,121,40,121,46,1.01,605,-1
"162",16438,179,"Impatiens_capensis","Balsaminaceae","Herb",3,0.477121255,"Rhode Island","USA",41.667,-71.25,44,10.1,10,2.9,8.4,27.4,-6.5,33.9,1.8,18.3,20.9,-0.8,1176,117,81,11,332,256,262,311,3.39,1044,1
"163",26983,208,"Salix_lapponum","Salicaceae","Shrub",1.05,0.021189299,"Norway",NA,61.6,7.5,1520,-2.1,6.2,2.8,5.4,10,-11.7,21.7,-4.9,0.1,5.2,-8.5,1418,159,71,23,446,244,337,399,1.01,45,1
"164",12619,7,"Festuca_novae-zealandiae","Poaceae","Herb",0.5,-0.301029996,"New Zealand",NA,43.033,171.75,587,9.1,9,4.6,3.6,19.1,-0.3,19.4,8.8,12.2,13.6,4.3,2421,247,131,15,704,502,537,580,1.46,41,-1
"165",3358,135,"Ardisia_tenera","Myrsinaceae","Tree",11,1.041392685,"China",NA,21.96,101.2,749,21,11.9,5.3,3.3,30.5,8.4,22.1,23.9,17.5,24.3,16.1,1476,275,20,74,753,67,616,73,4.04,1435,1
"166",12541,199,"Fagus_sylvatica","Fagaceae","Tree",39,1.591064607,"Germany","Barvaria",49.867,10.45,415,8,8.9,3.2,6.7,22.9,-4.1,27,16.5,0.5,16.5,-0.7,692,80,43,18,218,143,218,155,3.57,827,1
"167",17783,150,"Larrea_tridentata","Zygophyllaceae","Shrub",1.94,0.28780173,NA,NA,34.55,-116.883,920,16.6,16.6,4.5,7.1,36.9,0.4,36.5,9.3,23.3,25.9,8.1,212,34,2,60,97,16,19,95,1.26,279,1
"168",13427,204,"Gentiana_campestris","Gentianaceae","Herb",12.4,1.093421685,"Sweden","Sodermanland",59.333,16.85,33,6.2,7.3,2.5,7.3,21.7,-6.6,28.3,14.7,0.2,15.9,-2.8,564,70,27,29,197,90,188,116,3.07,615,1
"169",7867,6,"Chionochloa_pallens","Poaceae","Herb",1.5,0.176091259,"New Zealand","Canterbury",43.533,171.55,1070,7.8,9.4,4.5,3.9,18.5,-2,20.5,5.5,12.5,12.6,2.6,1211,120,71,12,339,259,266,326,1.26,30,-1
"171",15377,110,"Heliconia_acuminata","Heliconiaceae","Herb",0.75,-0.124938737,"Brazil",NA,2.5,-60,111,27,8.6,8.3,0.4,32.5,22.2,10.3,26.6,27.4,27.6,26.5,2319,299,108,31,803,352,415,718,4.26,1692,-1
"172",17329,170,"Juniperus_virginiana","Cupressaceae","Shrub",4,0.602059991,"USA",NA,38.75,-96.583,407,12.1,12.8,3,9.9,32.4,-9,41.4,22.1,-1.3,24.5,-1.3,859,133,20,49,338,73,310,73,2.76,1127,1
"173",11188,76,"Elaeocarpus_pyriformis","Elaeocarpaceae","Tree",15,1.176091259,"Fiji","abngau",17.472,178.847,41,25,6.3,6.4,1.2,30.1,20.4,9.7,26.4,23.3,26.4,23.3,2616,379,100,41,1012,335,1012,335,4.5,1800,-1
"174",2357,91,"Alloteropsis_semialata","Poaceae","Herb",0.55,-0.259637311,"Australia","Cape York",14.967,143.583,85,26,12.4,6.2,2.3,35.1,15.1,20,27.8,23.4,28.4,22.7,1117,290,2,113,767,9,501,13,4.03,811,-1
"176",21230,32,"Opuntia_aurantiaca","Cactaceae","Shrub",0.5,-0.301029996,NA,NA,33.2,26.367,614,16.7,13.6,5.9,3.1,27.4,4.6,22.8,20.6,13.1,20.6,12.5,630,73,28,27,197,98,197,104,1.76,933,-1
"177",29075,210,"Sorbus_aucuparia","Rosaceae","Tree",15,1.176091259,"Sweeden","Umea",63.817,20.267,21,2.7,8.5,2.4,8.9,20.7,-13.8,34.5,13.1,-4.2,14.5,-8.6,572,70,32,26,189,99,168,128,2.79,414,1
"178",13426,197,"Gentiana_cruciata","Gentianaceae","Herb",0.246,-0.609064893,"Switzerland",NA,46.5,7,1608,3.5,7.5,3,6,16.5,-7.9,24.4,-4.1,4.6,11.1,-4.1,1555,155,112,10,438,359,385,438,3.26,690,1
